t,o,h,l,c
1767088800,210.724,210.761,210.644,210.729
1767092400,210.73,210.763,210.507,210.526
1767096000,210.525,210.686,210.433,210.486
1767099600,210.485,210.776,210.47,210.676
1767103200,210.675,210.725,210.5,210.599
1767106800,210.598,210.774,210.46,210.632
1767110400,210.63,210.688,210.462,210.589
1767114000,210.586,210.728,210.556,210.586
1767117600,210.586,210.698,210.556,210.642
1767121200,210.638,210.756,210.628,210.734
1767124800,210.73,210.742,210.632,210.662
1767128400,210.666,210.699,210.633,210.673
1767132000,210.61,210.634,210.558,210.606
1767135600,210.596,210.684,210.52,210.618
1767139200,210.606,210.647,210.496,210.564
1767142800,210.57,210.62,210.519,210.58
1767146400,210.586,210.692,210.577,210.649
1767150000,210.65,210.712,210.622,210.708
1767153600,210.707,210.8,210.702,210.779
1767157200,210.778,210.836,210.743,210.789
1767160800,210.788,210.807,210.722,210.766
1767164400,210.762,210.788,210.688,210.692
1767168000,210.694,210.834,210.262,210.305
1767171600,210.304,210.574,210.266,210.476
1767175200,210.482,210.548,210.384,210.524
1767178800,210.526,210.802,210.522,210.726
1767182400,210.726,210.938,210.582,210.897
1767186000,210.898,211.1,210.866,210.98
1767189600,210.984,211.09,210.794,210.816
1767193200,210.812,210.891,210.354,210.832
1767196800,210.828,211.032,210.712,210.854
1767200400,210.855,210.973,210.716,210.966
1767204000,210.969,211.092,210.96,211.07
1767207600,211.07,211.092,210.832,210.986
1767211200,210.986,211.184,210.97,211.146
1767214800,211.145,211.228,211.096,211.113
1767304800,211.048,211.207,210.981,211.141
1767308400,211.128,211.358,211.118,211.17
1767312000,211.171,211.227,211.041,211.078
1767315600,211.076,211.279,211.029,211.263
1767319200,211.266,211.346,211.205,211.337
1767322800,211.338,211.378,211.303,211.364
1767326400,211.364,211.44,211.355,211.381
1767330000,211.378,211.44,211.326,211.384
1767333600,211.382,211.448,211.277,211.386
1767337200,211.382,211.426,211.076,211.204
1767340800,211.204,211.399,211.039,211.062
1767344400,211.062,211.162,210.982,211.134
1767348000,211.135,211.166,210.884,210.958
1767351600,210.958,210.98,210.758,210.912
1767355200,210.911,211.066,210.884,211.021
1767358800,211.014,211.206,210.922,211.163
1767362400,211.159,211.232,211.036,211.2
1767366000,211.202,211.443,211.038,211.349
1767369600,211.346,211.412,211.214,211.235
1767373200,211.234,211.262,211.038,211.06
1767376800,211.058,211.149,211.005,211.046
1767380400,211.047,211.124,211.009,211.05
1767384000,211.05,211.115,211.03,211.106
1767387600,211.106,211.184,211.087,211.104
1767564000,210.899,211.06,210.802,210.932
1767567600,210.983,211.026,210.798,210.976
1767571200,210.976,211.34,210.921,211.256
1767574800,211.255,211.285,211.012,211.034
1767578400,211.034,211.118,210.921,211.071
1767582000,211.072,211.176,210.868,210.946
1767585600,210.947,211.174,210.946,211.16
1767589200,211.161,211.173,211.005,211.068
1767592800,211.071,211.135,210.925,210.987
1767596400,210.982,210.986,210.718,210.732
1767600000,210.732,210.775,210.526,210.563
1767603600,210.564,210.966,210.517,210.951
1767607200,210.95,210.998,210.775,210.84
1767610800,210.837,210.949,210.714,210.808
1767614400,210.812,210.934,210.718,210.786
1767618000,210.788,211.018,210.712,210.975
1767621600,210.974,211.228,210.884,211.17
1767625200,211.159,211.511,211.071,211.426
1767628800,211.426,211.494,211.33,211.432
1767632400,211.43,211.592,211.412,211.559
1767636000,211.562,211.592,211.434,211.469
1767639600,211.466,211.604,211.348,211.588
1767643200,211.59,211.746,211.546,211.736
1767646800,211.731,211.848,211.71,211.814
1767650400,211.764,211.975,211.694,211.959
1767654000,211.958,211.988,211.854,211.938
1767657600,211.938,212.159,211.848,211.881
1767661200,211.879,212.09,211.868,211.931
1767664800,211.929,211.968,211.816,211.902
1767668400,211.904,212.043,211.864,212.008
1767672000,212.008,212.052,211.87,211.993
1767675600,211.992,211.998,211.858,211.95
1767679200,211.952,212.084,211.936,211.968
1767682800,211.968,212.018,211.784,211.844
1767686400,211.844,211.983,211.779,211.88
1767690000,211.88,211.897,211.672,211.674
1767693600,211.673,211.78,211.534,211.72
1767697200,211.719,211.768,211.489,211.534
1767700800,211.531,211.541,211.376,211.46
1767704400,211.46,211.508,211.31,211.472
1767708000,211.472,211.639,211.419,211.546
1767711600,211.546,211.634,211.382,211.499
1767715200,211.496,211.556,211.422,211.474
1767718800,211.474,211.729,211.46,211.696
1767722400,211.695,211.744,211.568,211.572
1767726000,211.57,211.582,211.43,211.463
1767729600,211.462,211.492,211.396,211.459
1767733200,211.458,211.567,211.446,211.522
1767736800,211.508,211.539,211.374,211.462
1767740400,211.474,211.568,211.458,211.491
1767744000,211.49,211.681,211.395,211.499
1767747600,211.5,211.734,211.414,211.664
1767751200,211.662,211.758,211.627,211.63
1767754800,211.628,211.662,211.532,211.582
1767758400,211.582,211.585,211.388,211.411
1767762000,211.411,211.418,211.204,211.257
1767765600,211.258,211.361,211.132,211.274
1767769200,211.274,211.318,211.06,211.137
1767772800,211.135,211.321,211.026,211.254
1767776400,211.258,211.308,211.072,211.14
1767780000,211.135,211.308,211.128,211.282
1767783600,211.281,211.428,211.27,211.301
1767787200,211.302,211.304,211.118,211.161
1767790800,211.16,211.176,210.977,211.082
1767794400,211.084,211.256,210.98,211.214
1767798000,211.216,211.402,211.082,211.22
1767801600,211.217,211.283,211.078,211.146
1767805200,211.142,211.147,210.94,211.018
1767808800,211.018,211.088,210.962,211.062
1767812400,211.06,211.082,210.97,211.046
