t,o,h,l,c
1766754000,1.34966,1.35274,1.34948,1.35168
1766757600,1.35168,1.35214,1.35072,1.3516
1766761200,1.35159,1.35258,1.35034,1.35069
1766764800,1.3507,1.35076,1.34826,1.34878
1766768400,1.34878,1.34974,1.34816,1.3495
1766772000,1.34952,1.35,1.34928,1.34962
1766775600,1.3496,1.35002,1.34902,1.35002
1766779200,1.35002,1.35066,1.34991,1.35032
1766782800,1.35032,1.35058,1.34926,1.3499
1766959200,1.3493,1.35012,1.34895,1.35
1766962800,1.34979,1.35013,1.3489,1.34972
1766966400,1.34974,1.35082,1.34972,1.35076
1766970000,1.35076,1.35119,1.35056,1.35092
1766973600,1.35091,1.351,1.35022,1.3507
1766977200,1.3507,1.35098,1.3503,1.35066
1766980800,1.35066,1.35068,1.34941,1.34944
1766984400,1.34943,1.34948,1.34837,1.3491
1766988000,1.34914,1.34976,1.34871,1.34968
1766991600,1.34969,1.34979,1.3482,1.34852
1766995200,1.34852,1.34982,1.34772,1.3486
1766998800,1.34858,1.3508,1.34737,1.34906
1767002400,1.34904,1.35088,1.3489,1.34977
1767006000,1.34976,1.35112,1.3489,1.34892
1767009600,1.34892,1.34898,1.34692,1.34826
1767013200,1.34824,1.3497,1.34794,1.34936
1767016800,1.34936,1.35074,1.3486,1.35008
1767020400,1.3501,1.35128,1.34859,1.35008
1767024000,1.35006,1.35008,1.34855,1.34938
1767027600,1.34938,1.34956,1.34816,1.34856
1767031200,1.34856,1.34957,1.34844,1.34911
1767034800,1.3491,1.35084,1.34893,1.35066
1767038400,1.35068,1.351,1.3502,1.35049
1767042000,1.3505,1.35159,1.35036,1.3513
1767045600,1.35076,1.35113,1.35006,1.35024
1767049200,1.35024,1.35096,1.3502,1.3509
1767052800,1.35088,1.35102,1.34998,1.35028
1767056400,1.35028,1.35096,1.34977,1.3509
1767060000,1.3509,1.3512,1.35008,1.35027
1767063600,1.35028,1.35078,1.34999,1.35053
1767067200,1.35051,1.3511,1.35042,1.35104
1767070800,1.35106,1.35172,1.35106,1.35148
1767074400,1.35148,1.35216,1.35118,1.35156
1767078000,1.35154,1.35156,1.35008,1.3506
1767081600,1.3506,1.35189,1.3505,1.3509
1767085200,1.35089,1.3519,1.35074,1.35145
1767088800,1.35144,1.3531,1.35144,1.35214
1767092400,1.35215,1.35248,1.35033,1.35044
1767096000,1.35046,1.35084,1.34934,1.34968
1767099600,1.34968,1.34994,1.34869,1.34877
