t,o,h,l,c
1766509200,1.17756,1.17789,1.1769,1.1771
1766512800,1.17708,1.17832,1.17696,1.17828
1766516400,1.17831,1.17914,1.17822,1.17901
1766520000,1.17902,1.17936,1.1787,1.17896
1766523600,1.17894,1.1797,1.17883,1.17934
1766527200,1.17927,1.17954,1.17919,1.17946
1766530800,1.17946,1.17972,1.17935,1.1795
1766534400,1.1795,1.1799,1.17904,1.17988
1766538000,1.17988,1.18064,1.17968,1.18053
1766541600,1.18054,1.1808,1.17982,1.17982
1766545200,1.17984,1.17985,1.1787,1.17876
1766548800,1.17876,1.17934,1.17858,1.17914
1766552400,1.17912,1.18022,1.17907,1.17992
1766556000,1.1799,1.1804,1.17978,1.17999
1766559600,1.18001,1.18018,1.17864,1.1789
1766563200,1.1789,1.17995,1.17798,1.17994
1766566800,1.17997,1.1801,1.17945,1.17998
1766570400,1.17997,1.18001,1.17908,1.17964
1766574000,1.17966,1.17986,1.1791,1.17928
1766577600,1.17929,1.17932,1.17839,1.17842
1766581200,1.17844,1.1791,1.17836,1.17853
1766584800,1.17852,1.1787,1.17774,1.17806
1766588400,1.17806,1.17826,1.17754,1.17782
1766592000,1.17781,1.1781,1.17731,1.17792
1766595600,1.17792,1.17832,1.17726,1.17768
1766599200,1.17767,1.17798,1.17744,1.1779
1766602800,1.17788,1.17822,1.17788,1.17816
1766606400,1.17817,1.1782,1.17793,1.17797
1766610000,1.17798,1.17801,1.17768,1.1777
1766700000,1.17805,1.17862,1.17784,1.17818
1766703600,1.17818,1.17862,1.1778,1.17845
1766707200,1.17844,1.1792,1.17767,1.17859
1766710800,1.1786,1.17917,1.17829,1.17872
1766714400,1.17873,1.17936,1.17836,1.17921
1766718000,1.17922,1.17926,1.17834,1.17844
1766721600,1.17843,1.17872,1.178,1.17832
1766725200,1.17832,1.17872,1.17801,1.17862
1766728800,1.17863,1.1788,1.17718,1.17766
1766732400,1.17767,1.17778,1.17704,1.1773
1766736000,1.1773,1.17778,1.17666,1.17769
1766739600,1.17768,1.17778,1.17686,1.17703
1766743200,1.17701,1.17798,1.1769,1.17732
1766746800,1.17731,1.17825,1.17731,1.17774
1766750400,1.17776,1.17825,1.17728,1.17816
1766754000,1.17816,1.17968,1.17816,1.17914
1766757600,1.17916,1.17946,1.17812,1.17838
1766761200,1.17838,1.17926,1.17716,1.17772
1766764800,1.17772,1.17796,1.17623,1.17652
1766768400,1.17652,1.17705,1.17616,1.17702
1766772000,1.17704,1.17738,1.1769,1.1772
1766775600,1.17719,1.17768,1.17692,1.17768
1766779200,1.17768,1.17818,1.17724,1.17751
1766782800,1.17751,1.17767,1.17658,1.1771
1766959200,1.1768,1.17734,1.17654,1.17706
1766962800,1.1771,1.17782,1.1771,1.17726
1766966400,1.17728,1.1784,1.17718,1.17797
1766970000,1.17796,1.17864,1.17788,1.17842
1766973600,1.1784,1.17853,1.17756,1.17758
1766977200,1.17758,1.17761,1.17712,1.17734
1766980800,1.17734,1.17734,1.1764,1.17644
1766984400,1.17644,1.17644,1.17537,1.1756
1766988000,1.17562,1.17697,1.17542,1.17696
1766991600,1.17698,1.17792,1.17653,1.17771
1766995200,1.1777,1.17888,1.1771,1.1784
1766998800,1.1784,1.17891,1.17716,1.17764
1767002400,1.17764,1.17802,1.17653,1.17658
1767006000,1.17658,1.17712,1.17578,1.17659
1767009600,1.17656,1.17692,1.17555,1.17619
1767013200,1.17618,1.17737,1.17604,1.17698
1767016800,1.17698,1.17888,1.17672,1.1783
1767020400,1.17833,1.17864,1.17664,1.17678
1767024000,1.17676,1.17681,1.17524,1.17561
1767027600,1.1756,1.1757,1.17494,1.17521
1767031200,1.17519,1.1759,1.17508,1.17574
1767034800,1.17575,1.17682,1.1757,1.17674
1767038400,1.17673,1.17706,1.17644,1.17706
1767042000,1.17705,1.17748,1.17702,1.17726
1767045600,1.1771,1.17722,1.17663,1.17682
1767049200,1.1768,1.17746,1.1768,1.17725
1767052800,1.17724,1.17754,1.17716,1.17729
